Log file created at: 2014/12/30 15:22:17
Running on machine: ubuntu2
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I1230 15:22:17.616171  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616173  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.616175  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616178  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.616180  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616185  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.616189  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616190  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616194  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616195  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.616199  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.616200  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616204  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.616205  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616207  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.616209  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616215  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.616252  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616255  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616257  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616261  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.616264  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.616266  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616269  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.616271  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616273  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.616276  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616298  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.616303  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616305  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616307  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616309  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.616313  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.616315  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616318  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.616320  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
